Security,Date,AveragePrice,TotalQuantity,MaxBeta
AAN Equity,2016-1-1,30.05,71450,1.3
AAP Equity,2016-1-1,164.05,387,1.42
ABG Equity,2016-1-1,67.18333333333334,19948,1.87
ABM Equity,2016-1-1,40.56,1262,1.52
AC Equity,2016-01-01,36.25,4978,1.48
ACCO Equity,2016-1-1,13.050000000000002,11318,1.29
ACN Equity,2016-1-1,117.6,34485,1.24
ADM Equity,2016-1-1,43.83,6529,1.37
AEGN Equity,2016-1-1,22.97,32742,1.56
AEL Equity,2016-1-1,26.1,5853,1.2
AEO Equity,2016-1-1,16.433333333333334,39267,1.96
AEP Equity,2016-1-1,63.95,21706,1.38
AFG Equity,2016-1-1,91.55,294,0.96
AFL Equity,2016-01-01,69.98,239187,0.74
AGCO Equity,2016-1-1,64.74,40894,1.15
AGII Equity,2016-1-1,65.2,271052,1.43
AGO Equity,2016-1-1,40.79,8435,1.8
AGR Equity,2016-1-1,40.41,130505,1.12
AGX Equity,2016-1-1,76.48666666666666,114856,1.65
AHL Equity,2016-01-01,55.75,29454,0.58
AIG Equity,2016-1-1,65.61,528,1.45
AIMC Equity,2016-01-01,-1.0,0,-1.0
AIN Equity,2016-01-1,55.63,102017,0.54
AIR Equity,2016-01-01,-1.0,0,-1.0
AIT Equity,2016-01-1,61.85,262,1.6
AIZ Equity,2016-1-1,94.48,226612,1.33
AJRD Equity,2016-1-1,19.21,34887,1.42
AKRX Equity,2016-1-1,21.72,3091,1.86
ALGT Equity,2016-1-1,171.30000000000004,228668,0.96
ALK Equity,2016-1-1,97.35,939,1.18
ALL Equity,2016-1-1,78.88,1061,1.9
ALV Equity,2016-1-1,105.62,190652,0.68
AMAG Equity,2016-1-1,23.25,3705,1.91
AMCX Equity,2016-1-1,55.20000000000001,13574,1.43
AMKR Equity,2016-01-1,9.97,48488,0.89
AMN Equity,2016-1-1,37.7,33452,1.43
AMSF Equity,2016-1-1,67.29666666666667,12033,1.01
AMWD Equity,2016-1-1,78.17333333333333,25651,1.39
ANAT Equity,2016-1-1,119.38,1228,1.87
ANF Equity,2016-1-1,13.093333333333334,21470,1.28
ANIK Equity,2016-1-1,51.39000000000001,25040,1.64
ANTM Equity,2016-1-1,162.32,1044,1.07
AOBC Equity,2016-1-1,20.07,5968,1.85
APAM Equity,2016-1-1,30.2,5698,2.0
APOG Equity,2016-1-1,58.41,12158,1.14
APOL Equity,2016-1-1,9.996666666666664,11515,1.39
ARII Equity,2016-1-1,45.86,21628,1.26
AROC Equity,2016-1-1,15.699999999999998,46285,1.65
ARW Equity,2016-01-01,72.14,12600,1.05
ASH Equity,2016-1-1,118.68,12127,1.63
ASNA Equity,2016-1-1,5.423333333333333,76207,1.36
ASPS Equity,2016-1-1,30.703333333333333,170047,0.77
ASTE Equity,2016-1-1,72.24,4151,1.33
ATNI Equity,2016-01-1,83.3,4600,1.11
ATO Equity,2016-1-1,75.45,12021,1.22
ATR Equity,2016-1-1,74.79,9709,1.75
ATRO Equity,2016-1-1,33.68,66,0.99
ATSG Equity,2016-1-1,17.884999999999998,18058,1.63
ATU Equity,2016-1-1,27.15,20135,1.58
ATW Equity,2016-01-01,-1.0,0,-1.0
AVA Equity,2016-1-1,39.32,1596,1.6
AVP Equity,2016-1-1,5.933333333333334,16784,1.91
AVT Equity,2016-01-01,-1.0,0,-1.0
AVX Equity,2016-1-1,16.17,7620,1.46
AVY Equity,2016-1-1,80.06333333333333,29122,1.77
AWH Equity,2016-1-1,53.37,9288,1.38
AWR Equity,2016-01-01,44.48,3100,0.89
AXE Equity,2016-1-1,84.95,8941,1.57
AXL Equity,2016-1-1,20.763333333333332,46233,1.46
AXS Equity,2016-01-01,67.6,57100,1.0
AYR Equity,2016-01-01,23.26,15301,1.23
AZO Equity,2016-1-1,740.65,10273,1.43
AZZ Equity,2016-1-1,58.35,1401,1.48
B Equity,2016-1-1,48.58,4911,0.93
BAH Equity,2016-1-1,34.1,1025,1.16
BAP Equity,2016-01-1,192.76,6800,1.39
BAX Equity,2016-1-1,49.0,1941,1.49
BBBY Equity,2016-1-1,41.056666666666665,15300,1.24
BBSI Equity,2016-1-1,62.82,31332,1.77
BBY Equity,2016-1-1,44.68,2721,1.25
BCC Equity,2016-1-1,26.25,43867,1.45
BCO Equity,2016-1-1,52.45000000000001,60838,1.33
BEAT Equity,2016-1-1,25.226666666666663,20373,1.23
BEAV Equity,2016-01-01,-1.0,0,-1.0
BEN Equity,2016-1-1,40.88,32434,0.78
BG Equity,2016-1-1,68.55,31338,1.89
BGC Equity,2016-1-1,16.8,109681,1.84
BGCP Equity,2016-1-1,11.300000000000002,3182,0.85
BGFV Equity,2016-01-01,-1.0,0,-1.0
BGG Equity,2016-1-1,21.856666666666666,10991,1.95
BHE Equity,2016-1-1,33.70666666666667,126084,1.86
BIG Equity,2016-1-1,56.15,37112,1.07
BJRI Equity,2016-1-1,37.9,24587,1.39
BK Equity,2016-1-1,45.56,6670,1.04
BKE Equity,2016-1-1,22.77,46223,1.36
BKH Equity,2016-1-1,61.55,34979,1.8
BKS Equity,2016-1-1,11.14,12347,1.45
BLMN Equity,2016-1-1,18.26,141792,1.94
BMI Equity,2016-01-01,36.45,3098,0.5
BMS Equity,2016-1-1,48.58,107813,1.09
BOBE Equity,2016-1-1,58.43,22647,1.46
BR Equity,2016-1-1,67.32,3514,1.37
BRC Equity,2016-1-1,41.120000000000005,77538,1.64
BRCD Equity,2016-01-01,-1.0,0,-1.0
BRO Equity,2016-01-01,42.98,1600,0.5
BURL Equity,2016-1-1,86.61,4255,1.33
BW Equity,2016-01-01,-1.0,0,-1.0
BWLD Equity,2016-1-1,166.99666666666667,10605,1.34
CA Equity,2016-1-1,31.77,32218,1.95
CABO Equity,2016-01-01,638.91,59901,0.96
CACC Equity,2016-1-1,200.05,3080,1.83
CACI Equity,2016-1-1,126.45,1536,1.19
CAKE Equity,2016-1-1,62.54999999999999,8588,1.93
CAL Equity,2016-1-1,33.53666666666666,10701,0.8
CALM Equity,2016-1-1,39.4,11199,1.97
CASY Equity,2016-1-1,120.33999999999999,169060,1.63
CATM Equity,2016-1-1,45.49,166856,1.3
CATO Equity,2016-01-01,-1.0,0,-1.0
CAVM Equity,2016-01-01,-1.0,0,-1.0
CBM Equity,2016-1-1,52.5,10754,1.34
CBOE Equity,2016-1-1,77.67,8969,1.19
CBPX Equity,2016-1-1,24.310000000000002,50594,1.9
CBRL Equity,2016-1-1,164.3,5432,1.09
CBT Equity,2016-1-1,62.38666666666666,45075,1.58
CC Equity,2016-1-1,28.13,6088,1.39
CCC Equity,2016-01-1,17.27,1391,1.53
CCMP Equity,2016-01-01,68.0,522,0.86
CCP Equity,2016-1-1,25.14,474,1.52
CDW Equity,2016-1-1,58.71,1125,1.78
CENT Equity,2016-1-1,34.916666666666664,16422,1.48
CHE Equity,2016-1-1,180.70333333333335,9153,1.67
CHMT Equity,2016-1-1,33.1,149512,1.63
CHS Equity,2016-1-1,14.25,20935,1.35
CI Equity,2016-1-1,145.55,54045,1.35
CINF Equity,2016-1-1,71.06,36212,1.35
CIR Equity,2016-1-1,64.81,8058,1.66
CKH Equity,2016-1-1,73.51,1781,1.42
CLD Equity,2016-1-1,5.859999999999999,25345,1.39
CLH Equity,2016-1-1,54.87,16865,1.25
CLW Equity,2016-1-1,63.330000000000005,68106,1.96
CMC Equity,2016-01-1,22.11,3829,0.82
CMCSA Equity,2016-01-01,75.15,18342,0.65
CMP Equity,2016-1-1,79.95,14168,1.28
CNA Equity,2016-01-01,42.52,676,1.17
CNDT Equity,2016-1-1,14.56,27600,1.07
CNK Equity,2016-1-1,42.03,10614,0.74
CNMD Equity,2016-1-1,43.66,7377,0.94
CNS Equity,2016-01-01,34.81,35700,0.85
CNSL Equity,2016-01-1,25.8,9961,1.5
COH Equity,2016-1-1,39.086666666666666,18130,1.97
COHR Equity,2016-1-1,197.19,5655,0.76
COKE Equity,2016-1-1,177.0,49644,1.33
COL Equity,2016-1-1,91.17,6045,1.14
COLB Equity,2016-1-1,39.25,4179,1.51
COLM Equity,2016-1-1,59.83,7303,1.16
COMM Equity,2016-1-1,38.44,4451,1.91
COP Equity,2016-1-1,50.14,14417,1.31
CORE Equity,2016-1-1,33.14,10084,1.56
CPA Equity,2016-01-01,98.06,2600,0.98
CPLA Equity,2016-1-1,88.37333333333333,7066,1.71
CPRT Equity,2016-1-1,58.17,4203,1.56
CPS Equity,2016-1-1,112.09666666666668,27682,1.61
CR Equity,2016-01-1,73.65,59100,1.09
CRI Equity,2016-1-1,87.17999999999999,13657,1.32
CRUS Equity,2016-1-1,54.19,24851,1.32
CSAL Equity,2016-1-1,26.58,7676,0.84
CSC Equity,2016-1-1,70.82,2828,0.84
CSCO Equity,2016-1-1,31.51,8573,1.01
CSGS Equity,2016-1-1,39.33,21540,1.11
CSRA Equity,2016-1-1,31.02,29444,1.96
CST Equity,2016-1-1,48.22,10572,1.55
CSTE Equity,2016-1-1,34.89666666666667,24748,0.97
CSTM Equity,2016-1-1,7.55,327,1.78
CTAS Equity,2016-1-1,116.72,14409,1.34
CTB Equity,2016-1-1,36.38,21019,1.25
CTL Equity,2016-1-1,24.49,1050,1.46
CUB Equity,2016-1-1,51.5,11723,1.21
CVG Equity,2016-1-1,25.626666666666665,44384,1.08
CVS Equity,2016-1-1,78.53,10522,1.12
CVX Equity,2016-1-1,113.05,7869,0.8
CW Equity,2016-1-1,99.73,25650,1.39
CWT Equity,2016-1-1,34.65,752,1.34
CXW Equity,2016-01-1,30.79,11200,1.77
CZR Equity,2016-1-1,9.083333333333334,9150,1.38
CZZ Equity,2016-1-1,8.76,10243,1.29
DAN Equity,2016-1-1,20.753333333333334,16970,1.3
DBD Equity,2016-1-1,27.4,34345,1.04
DCI Equity,2016-1-1,42.13,732,0.84
DDS Equity,2016-1-1,58.79,68567,1.85
DECK Equity,2016-1-1,52.62,19985,1.31
DENN Equity,2016-1-1,12.51,4085,1.67
DEPO Equity,2016-1-1,16.59,408,1.12
DF Equity,2016-1-1,20.7,31397,1.14
DFS Equity,2016-1-1,68.82,9942,0.91
DG Equity,2016-1-1,80.37333333333333,3757,1.33
DGI Equity,2016-1-1,29.290000000000003,3378,1.77
DHT Equity,2016-1-1,4.92,3281,1.67
DIN Equity,2016-1-1,71.26,2850,1.41
DIOD Equity,2016-1-1,24.42,48174,1.4
DISCA Equity,2016-1-1,28.48,6764,0.73
DKS Equity,2016-1-1,53.580000000000005,22009,1.06
DLB Equity,2016-1-1,48.78,1464,1.54
DLPH Equity,2016-1-1,74.32,513,0.99
DLX Equity,2016-1-1,77.73,17588,1.34
DNB Equity,2016-1-1,100.75,729,1.83
DO Equity,2016-1-1,17.38,48182,0.9
DORM Equity,2016-01-01,69.95,4400,1.26
DOX Equity,2016-1-1,59.9,2959,0.82
DPLO Equity,2016-01-1,15.84,22119,1.35
DPS Equity,2016-1-1,93.56,872,0.74
DRI Equity,2016-1-1,78.82333333333334,10700,1.27
DRQ Equity,2016-01-01,62.65,108,1.01
DST Equity,2016-1-1,116.91,39297,1.09
DSW Equity,2016-1-1,23.09,15750,1.25
DTE Equity,2016-1-1,97.36,33824,1.13
DV Equity,2016-1-1,33.11,9832,1.47
DVMT Equity,2016-01-01,64.73,1041,1.35
DY Equity,2016-1-1,83.09333333333333,53689,1.65
EAT Equity,2016-1-1,46.300000000000004,55609,1.38
EBAY Equity,2016-1-1,33.63,15836,1.44
EBIX Equity,2016-1-1,58.1,1200,1.97
EBS Equity,2016-1-1,29.71,5361,1.44
ECOL Equity,2016-01-01,-1.0,0,-1.0
EE Equity,2016-1-1,46.65,2180,1.4
EGBN Equity,2016-01-01,61.85,5428,1.41
EIG Equity,2016-1-1,37.61666666666667,4222,1.88
ELNK Equity,2016-01-1,6.1,9500,1.45
EME Equity,2016-01-01,69.16,551,0.94
EMR Equity,2016-1-1,63.26,26998,1.23
ENH Equity,2016-1-1,92.73,796,1.25
ENR Equity,2016-1-1,56.54333333333333,33289,1.15
ENS Equity,2016-1-1,77.53,1059,1.94
ENSG Equity,2016-01-01,17.35,1000,1.43
ENTA Equity,2016-01-1,33.52,19241,0.85
ENTG Equity,2016-1-1,20.95,5687,1.19
EPC Equity,2016-1-1,77.75,841,0.94
EQC Equity,2016-1-1,32.696666666666665,14589,1.93
ERIE Equity,2016-1-1,113.3,120735,1.99
ETH Equity,2016-1-1,29.2,6199,1.77
EV Equity,2016-1-1,42.92,3548,0.93
EVR Equity,2016-1-1,78.55,4630,1.16
EXPD Equity,2016-1-1,54.73,16373,1.17
EXPR Equity,2016-1-1,11.526666666666666,53588,1.04
EZPW Equity,2016-01-1,9.55,17637,1.5
FAF Equity,2016-1-1,40.92333333333334,23158,1.9
FCFS Equity,2016-01-01,-1.0,0,-1.0
FCN Equity,2016-01-01,42.41,423,1.3
FCNCA Equity,2016-1-1,358.94,3728,1.9
FDP Equity,2016-1-1,58.94,30537,1.5
FDX Equity,2016-1-1,190.86,2638,0.97
FET Equity,2016-1-1,21.95,166460,1.38
FFG Equity,2016-1-1,69.15,16832,1.63
FFIV Equity,2016-1-1,139.69,10755,0.94
FGL Equity,2016-1-1,26.7,1800,1.34
FI Equity,2016-1-1,12.6,14733,1.17
FIBK Equity,2016-1-1,41.3,6041,1.61
FII Equity,2016-1-1,27.213333333333335,61935,1.93
FINL Equity,2016-1-1,17.94,7782,1.14
FIT Equity,2016-1-1,5.8999999999999995,55808,1.06
FIVN Equity,2016-01-1,16.89,1900,1.95
FIX Equity,2016-1-1,34.05,6345,1.92
FL Equity,2016-1-1,72.17,4352,1.27
FLEX Equity,2016-1-1,16.0,12968,1.45
FLIR Equity,2016-1-1,36.15,21331,1.45
FLO Equity,2016-1-1,20.71,11463,0.89
FOE Equity,2016-1-1,15.024999999999999,5468,1.69
FOSL Equity,2016-1-1,24.406666666666666,49846,1.75
FPRX Equity,2016-1-1,47.77,9062,1.24
FRAN Equity,2016-1-1,18.8,101933,1.05
FRGI Equity,2016-1-1,29.46666666666667,13564,1.86
FSS Equity,2016-1-1,15.27,618,0.64
FTR Equity,2016-1-1,3.31,4132,1.76
FUL Equity,2016-1-1,49.74,357,1.27
FWRD Equity,2016-1-1,49.66,31655,1.79
G Equity,2016-1-1,24.46,1150,1.21
GBL Equity,2016-1-1,30.97,15900,1.81
GBX Equity,2016-1-1,47.330000000000005,13774,0.79
GCI Equity,2016-1-1,9.416666666666666,2419,1.6
GCO Equity,2016-1-1,62.75,10690,0.93
GCP Equity,2016-01-1,27.2,18555,1.7
GDOT Equity,2016-1-1,28.060000000000002,12627,1.79
GEF Equity,2016-1-1,58.07333333333333,14112,1.54
GES Equity,2016-1-1,14.276666666666666,47489,1.3
GGG Equity,2016-1-1,91.01,1347,1.19
GHC Equity,2016-1-1,561.8666666666667,54098,2.0
GHDX Equity,2016-1-1,28.08,306,1.51
GHL Equity,2016-1-1,31.343333333333334,22202,0.86
GIII Equity,2016-1-1,26.59,30205,1.14
GILD Equity,2016-1-1,68.35000000000001,240985,1.43
GK Equity,2016-1-1,95.14,14977,1.94
GLRE Equity,2016-1-1,22.95,5297,1.2
GLT Equity,2016-1-1,23.92,50811,1.83
GME Equity,2016-1-1,26.343333333333334,33554,1.23
GMED Equity,2016-1-1,28.455,4334,1.92
GNC Equity,2016-1-1,8.52,23739,0.88
GNTX Equity,2016-01-1,21.72,27100,1.11
GPC Equity,2016-1-1,99.78,705,1.58
GPI Equity,2016-1-1,83.40666666666667,8933,1.14
GPRE Equity,2016-1-1,24.9,17783,1.88
GPS Equity,2016-1-1,24.36,31272,1.92
GRMN Equity,2016-1-1,49.78,8435,1.36
GT Equity,2016-1-1,33.72,3823,1.82
GTLS Equity,2016-1-1,40.43,34988,1.22
GWW Equity,2016-1-1,266.9633333333333,12785,1.31
GXP Equity,2016-1-1,28.01,9857,1.56
HA Equity,2016-1-1,52.20666666666667,8802,1.62
HAE Equity,2016-1-1,37.63,1005,1.68
HAFC Equity,2016-1-1,35.085,16318,1.2
HAS Equity,2016-1-1,97.63,5628,1.49
HCA Equity,2016-1-1,83.63,122037,1.21
HEES Equity,2016-1-1,24.613333333333333,7502,1.71
HF Equity,2016-01-1,34.02,6400,0.66
HI Equity,2016-01-01,36.85,570,0.94
HIBB Equity,2016-1-1,35.123333333333335,110375,1.79
HIG Equity,2016-1-1,47.86,7437,0.5
HII Equity,2016-01-1,219.385,24214,1.42
HLF Equity,2016-1-1,59.99,1611,1.47
HLS Equity,2016-1-1,41.04333333333333,3630,1.09
HMN Equity,2016-1-1,42.25,496,1.39
HNI Equity,2016-1-1,47.669999999999995,5183,1.47
HOLI Equity,2016-1-1,17.83,2829,1.79
HOPE Equity,2016-01-01,21.04,494,1.15
HPE Equity,2016-1-1,23.99,644,1.41
HPQ Equity,2016-01-1,17.29,12018,0.86
HRB Equity,2016-1-1,21.823333333333334,48490,1.57
HRC Equity,2016-1-1,62.32999999999999,13795,1.52
HRS Equity,2016-1-1,105.74,921,1.69
HSC Equity,2016-1-1,14.2,70925,1.27
HSNI Equity,2016-1-1,38.373333333333335,232714,1.09
HT Equity,2016-01-1,21.03,1000,0.81
HTH Equity,2016-1-1,27.4,62229,1.3
HTLD Equity,2016-01-1,21.25,15338,1.14
HUBB Equity,2016-1-1,122.85,80532,1.52
HUBG Equity,2016-1-1,53.120000000000005,141970,1.75
HURN Equity,2016-1-1,46.45000000000001,38176,1.65
HY Equity,2016-1-1,62.04,80568,1.07
HYH Equity,2016-1-1,40.14,11687,1.23
IBM Equity,2016-1-1,178.68,21805,1.1
ICFI Equity,2016-1-1,51.07333333333333,5911,1.26
IDCC Equity,2016-1-1,101.64,6099,1.57
IGT Equity,2016-01-1,27.77,10803,1.7
IIIN Equity,2016-1-1,39.96333333333333,26356,1.35
IIVI Equity,2016-01-01,39.65,180,0.56
IMKTA Equity,2016-01-01,-1.0,0,-1.0
INGR Equity,2016-1-1,120.79,70867,0.75
INN Equity,2016-01-1,18.09,5466,1.69
INOV Equity,2016-01-1,12.25,1100,1.07
INSY Equity,2016-1-1,9.65,3152,1.86
INTC Equity,2016-1-1,35.34,1472,1.34
IOSP Equity,2016-01-01,-1.0,0,-1.0
IP Equity,2016-1-1,52.89,8321,1.07
IPHI Equity,2016-1-1,47.75,2157,1.46
IPHS Equity,2016-1-1,49.61000000000001,5065,1.99
IQNT Equity,2016-1-1,23.433333333333334,45436,1.51
IRBT Equity,2016-01-01,-1.0,0,-1.0
ISLE Equity,2016-1-1,24.38,38619,1.64
ITG Equity,2016-1-1,20.716666666666665,120464,1.62
ITRI Equity,2016-1-1,68.21333333333334,23372,1.73
ITT Equity,2016-1-1,41.06,2060,1.26
JACK Equity,2016-1-1,111.92,354,1.81
JBL Equity,2016-1-1,25.44,725,1.29
JBSS Equity,2016-1-1,65.88000000000001,8438,1.3
JBT Equity,2016-1-1,87.8,6385,1.93
JCP Equity,2016-1-1,7.14,18264,1.65
JEC Equity,2016-1-1,57.4,3530,1.32
JJSF Equity,2016-1-1,130.72,1946,1.38
JKHY Equity,2016-1-1,90.6,396,0.53
