Security,Date,AveragePrice,TotalQuantity,MaxBeta
JNS Equity,2016-1-1,12.603333333333332,4354,1.58
JOE Equity,2016-1-1,17.25,14073,0.54
JOY Equity,2016-1-1,28.14,54815,1.42
JW/A Equity,2016-01-1,56.61,3487,1.14
JWN Equity,2016-1-1,46.35,7740,1.42
K Equity,2016-1-1,76.0,3698,1.1
KALU Equity,2016-1-1,84.87333333333333,4834,1.56
KAMN Equity,2016-1-1,52.00333333333333,12475,1.37
KATE Equity,2016-01-1,19.09,111144,1.35
KCG Equity,2016-01-1,15.24,165722,1.71
KEYS Equity,2016-1-1,37.63,36546,1.39
KFRC Equity,2016-1-1,24.35,10200,1.92
KLIC Equity,2016-1-1,20.493333333333336,155676,1.81
KMB Equity,2016-1-1,123.55,8948,1.75
KMPR Equity,2016-1-1,44.8,5910,1.73
KMT Equity,2016-1-1,38.09,600,0.77
KND Equity,2016-1-1,6.8,8994,1.49
KNL Equity,2016-1-1,27.42,11490,1.42
KNX Equity,2016-01-01,-1.0,0,-1.0
KOP Equity,2016-01-1,46.17,20371,1.07
KORS Equity,2016-1-1,40.68333333333334,19121,1.69
KOS Equity,2016-1-1,6.29,2961,1.69
KR Equity,2016-1-1,33.48,16050,0.72
KSS Equity,2016-1-1,42.599999999999994,7368,1.86
KWR Equity,2016-01-01,132.67,776,0.86
LABL Equity,2016-01-01,75.7,6643,1.19
LB Equity,2016-01-01,-1.0,0,-1.0
LCI Equity,2016-1-1,21.3,198,1.83
LCII Equity,2016-1-1,113.40666666666668,79950,1.57
LDL Equity,2016-1-1,59.7,1020,0.98
LDOS Equity,2016-1-1,50.84,36978,1.37
LEA Equity,2016-01-1,141.35,11937,1.2
LECO Equity,2016-1-1,83.34,7556,1.96
LGF/A Equity,2016-01-1,33.94,54729,0.91
LGF/B Equity,2016-01-01,26.64,203,1.41
LHCG Equity,2016-1-1,48.73333333333334,51761,1.64
LNN Equity,2016-1-1,76.27,15098,1.32
LOCK Equity,2016-01-1,27.59,15000,1.2
LOPE Equity,2016-01-1,57.67,61719,1.0
LOW Equity,2016-1-1,73.97,4357,1.13
LPLA Equity,2016-1-1,40.75,7289,1.18
LPNT Equity,2016-1-1,61.25,16323,1.47
LSTR Equity,2016-1-1,86.95,5230,1.37
LUV Equity,2016-01-01,-1.0,0,-1.0
LYB Equity,2016-1-1,91.86,9027,1.98
LZB Equity,2016-1-1,31.396666666666665,2105,1.68
M Equity,2016-1-1,31.99,57799,1.31
MAN Equity,2016-1-1,96.46999999999998,13319,1.34
MANT Equity,2016-1-1,38.87,22449,1.1
MASI Equity,2016-1-1,76.64,14934,1.23
MATX Equity,2016-01-1,36.5,13658,1.92
MDP Equity,2016-1-1,66.24,3498,1.61
MDR Equity,2016-01-01,-1.0,0,-1.0
MEET Equity,2016-01-01,-1.0,0,-1.0
MEI Equity,2016-01-1,41.8,7200,0.98
MENT Equity,2016-1-1,36.87,4329,1.13
MFS Equity,2016-01-1,19.83,17400,1.83
MGEE Equity,2016-1-1,63.5,21786,1.78
MGLN Equity,2016-1-1,77.41666666666667,2992,1.79
MHLD Equity,2016-1-1,18.6,5186,0.99
MIK Equity,2016-1-1,20.856666666666666,136427,1.88
MKSI Equity,2016-1-1,66.95,2600,0.98
MLHR Equity,2016-1-1,32.71,3873,1.86
MLI Equity,2016-1-1,43.17,104641,1.45
MO Equity,2016-1-1,72.42,38604,1.88
MOG/A Equity,2016-01-01,-1.0,0,-1.0
MOH Equity,2016-1-1,59.85999999999999,81075,1.09
MORN Equity,2016-1-1,77.67,666,1.43
MOV Equity,2016-1-1,27.156666666666666,44518,0.66
MPAA Equity,2016-01-01,-1.0,0,-1.0
MPC Equity,2016-1-1,50.14,127178,0.89
MSA Equity,2016-1-1,68.94,102259,1.39
MSFT Equity,2016-1-1,64.0,1200,1.76
MSGN Equity,2016-1-1,22.0,33746,1.64
MSM Equity,2016-1-1,104.45,12626,1.35
MSTR Equity,2016-1-1,189.35,139482,1.89
MTOR Equity,2016-1-1,16.64,16230,1.99
MTRN Equity,2016-1-1,39.11000000000001,15915,1.99
MTSC Equity,2016-1-1,55.0,20511,1.0
MTW Equity,2016-01-1,6.89,14524,1.18
MUSA Equity,2016-1-1,66.13,15373,1.73
MWA Equity,2016-1-1,12.85,1947,1.9
MXL Equity,2016-01-01,-1.0,0,-1.0
MYGN Equity,2016-1-1,16.31,150665,1.23
MYRG Equity,2016-1-1,40.37666666666667,148186,1.72
NAT Equity,2016-01-1,8.45,2104,1.48
NAVG Equity,2016-1-1,56.3,19872,1.07
NBTB Equity,2016-1-1,40.08,13890,0.86
NCI Equity,2016-1-1,26.02,59038,1.86
NCR Equity,2016-1-1,46.300000000000004,31400,1.88
NCS Equity,2016-1-1,15.949999999999998,17397,1.21
NEU Equity,2016-1-1,436.45,1947,1.18
NEWM Equity,2016-1-1,16.526666666666667,37569,1.72
NFG Equity,2016-1-1,59.41,51228,0.97
NHTC Equity,2016-01-01,-1.0,0,-1.0
NI Equity,2016-1-1,22.41,8225,1.89
NJR Equity,2016-1-1,37.65,62839,1.11
NLS Equity,2016-1-1,17.55666666666667,39023,1.49
NOC Equity,2016-1-1,236.25,33141,1.0
NP Equity,2016-1-1,82.0,29192,2.0
NPO Equity,2016-01-1,69.95,7100,1.15
NSIT Equity,2016-1-1,45.18,10633,0.89
NSP Equity,2016-1-1,73.4,45696,1.42
NSR Equity,2016-1-1,34.61666666666667,26708,1.69
NTAP Equity,2016-1-1,39.45,4194,1.92
NTGR Equity,2016-1-1,57.43,200681,1.38
NTRI Equity,2016-1-1,37.465,34607,1.57
NTRS Equity,2016-1-1,85.37,4048,1.09
NUS Equity,2016-1-1,53.330000000000005,40309,1.3
NVDA Equity,2016-1-1,113.62,68406,1.72
NVR Equity,2016-1-1,2011.2699999999998,85625,1.16
NWLI Equity,2016-01-01,306.98,7463,0.86
NWN Equity,2016-1-1,58.6,70420,1.82
NYT Equity,2016-1-1,15.76,135365,1.7
OA Equity,2016-01-01,-1.0,0,-1.0
OB Equity,2016-01-01,16.18,479,0.85
OC Equity,2016-1-1,58.14333333333334,5202,0.69
OCIP Equity,2016-1-1,9.45,916,1.79
ODFL Equity,2016-1-1,92.3,5043,1.18
ODP Equity,2016-1-1,4.57,156034,1.24
OGS Equity,2016-1-1,64.25,10256,1.51
OIS Equity,2016-1-1,39.75,3440,1.35
OLN Equity,2016-1-1,29.81,913,1.64
OME Equity,2016-1-1,27.103333333333335,9565,1.37
OMF Equity,2016-1-1,24.16,104101,1.31
OMI Equity,2016-1-1,36.550000000000004,16657,1.58
ON Equity,2016-1-1,14.14,3579,1.97
ORA Equity,2016-1-1,54.98,1624,1.62
ORBK Equity,2016-1-1,32.72,13977,1.94
ORCL Equity,2016-1-1,40.79,2203,1.69
ORI Equity,2016-01-1,20.77,63942,0.78
OSIS Equity,2016-01-01,-1.0,0,-1.0
OSK Equity,2016-1-1,67.69,5665,1.44
OTTR Equity,2016-1-1,38.65,216,0.85
OXM Equity,2016-1-1,58.166666666666664,1311,1.33
OXY Equity,2016-1-1,68.47,6882,0.93
PATK Equity,2016-01-1,83.75,20790,1.58
PAY Equity,2016-1-1,19.44,8771,1.16
PB Equity,2016-1-1,73.15,43476,0.91
PBI Equity,2016-1-1,14.026666666666666,17531,1.31
PCAR Equity,2016-1-1,68.73,6308,1.37
PDLI Equity,2016-01-1,2.4,15500,1.26
PEG Equity,2016-1-1,43.39,16097,0.77
PENN Equity,2016-1-1,13.97,64455,1.73
PFGC Equity,2016-1-1,24.335,21374,1.11
PGR Equity,2016-1-1,37.66,59321,1.49
PII Equity,2016-01-1,105.65,9794,1.25
PIR Equity,2016-1-1,7.516666666666667,95417,1.36
PKG Equity,2016-01-01,94.09,133,1.06
PLAB Equity,2016-1-1,11.65,20652,1.67
PLAY Equity,2016-1-1,57.24,16505,1.08
PLCE Equity,2016-1-1,107.08666666666666,25094,1.71
PLKI Equity,2016-1-1,67.14,83948,1.91
PLNT Equity,2016-1-1,22.063333333333333,58425,1.38
PLT Equity,2016-01-01,53.63,664,1.19
PLUS Equity,2016-1-1,126.88666666666666,14848,1.93
PLXS Equity,2016-01-01,56.26,968,0.57
PM Equity,2016-1-1,102.63,36560,1.46
PMC Equity,2016-1-1,26.679999999999996,5947,1.39
PNK Equity,2016-1-1,16.763333333333335,66882,1.36
PNM Equity,2016-1-1,35.0,1701,1.97
PNRA Equity,2016-1-1,233.21,36713,1.19
PNW Equity,2016-1-1,78.67,5603,0.74
POL Equity,2016-1-1,34.59,1185,1.72
POOL Equity,2016-1-1,109.86,66855,0.92
POR Equity,2016-1-1,46.73333333333333,86248,1.55
PPC Equity,2016-1-1,21.52,73384,1.88
PRA Equity,2016-1-1,55.6,4614,1.36
PRGS Equity,2016-1-1,28.81,36600,1.3
PRI Equity,2016-01-01,-1.0,0,-1.0
PRIM Equity,2016-01-1,28.4,900,0.89
PSB Equity,2016-1-1,113.2,14194,1.61
PSTG Equity,2016-1-1,11.76,15600,1.9
PVH Equity,2016-01-01,-1.0,0,-1.0
PWR Equity,2016-1-1,36.96,13882,0.77
PZZA Equity,2016-1-1,85.58,91844,1.19
Q Equity,2016-1-1,79.56,923,1.58
QSII Equity,2016-1-1,16.63,6695,1.97
QUAD Equity,2016-1-1,25.87,22896,1.62
RAI Equity,2016-1-1,60.57,23233,1.05
RBC Equity,2016-1-1,75.1,1285,1.88
RCII Equity,2016-1-1,8.836666666666666,154372,1.47
RDN Equity,2016-1-1,19.62,9264,0.99
RE Equity,2016-1-1,243.78333333333333,6006,1.43
RES Equity,2016-1-1,21.72,5902,1.95
REV Equity,2016-1-1,33.65,19553,1.98
REX Equity,2016-1-1,86.09333333333332,11953,1.79
RGA Equity,2016-1-1,127.59,4267,1.74
RGC Equity,2016-1-1,23.183333333333334,21713,1.16
RGR Equity,2016-1-1,53.49333333333333,21371,1.87
RH Equity,2016-01-01,25.32,5100,1.44
RHI Equity,2016-01-1,49.1,1600,0.54
RL Equity,2016-1-1,79.61,10858,1.89
RLI Equity,2016-1-1,59.56,3724,1.98
RMAX Equity,2016-1-1,58.03333333333333,24029,1.91
RMBS Equity,2016-1-1,12.79,40917,1.04
RNG Equity,2016-1-1,23.5,1227,0.83
RNR Equity,2016-1-1,147.98333333333335,5729,1.65
ROG Equity,2016-01-1,81.65,48678,1.29
ROST Equity,2016-1-1,68.79,1254,0.77
RRD Equity,2016-1-1,18.76,2430,1.43
RRGB Equity,2016-1-1,50.88333333333333,40513,1.18
RRR Equity,2016-1-1,24.05333333333333,135853,0.96
RS Equity,2016-01-01,83.44,281,1.22
RSG Equity,2016-1-1,57.96,3875,1.06
RTEC Equity,2016-1-1,22.05,11926,1.97
RUTH Equity,2016-1-1,17.5,4308,1.77
RYAM Equity,2016-1-1,14.04,12560,1.89
SAFM Equity,2016-1-1,95.98,44546,1.95
SAFT Equity,2016-1-1,77.24333333333333,2861,0.87
SAH Equity,2016-1-1,23.8,65333,1.9
SAIA Equity,2016-1-1,51.14000000000001,11076,1.21
SAIC Equity,2016-1-1,83.42,1315,1.69
SAM Equity,2016-1-1,163.58333333333334,37057,1.34
SANM Equity,2016-1-1,41.86,115611,1.6
SATS Equity,2016-1-1,53.81,20681,1.39
SAVE Equity,2016-1-1,56.75333333333333,15976,1.0
SBH Equity,2016-1-1,23.26,34109,1.99
SCAI Equity,2016-1-1,56.55,144,1.87
SCG Equity,2016-1-1,69.27,21217,1.6
SCHL Equity,2016-1-1,48.583333333333336,8468,1.31
SCHN Equity,2016-01-1,25.05,12416,1.27
SCL Equity,2016-01-1,77.35,8720,1.59
SCMP Equity,2016-1-1,12.203333333333333,6769,2.0
SCS Equity,2016-1-1,17.043333333333333,43260,1.5
SCSC Equity,2016-1-1,43.6,25763,1.73
SCSS Equity,2016-1-1,21.74,10107,1.33
SEAS Equity,2016-01-01,18.94,223,1.09
SEDG Equity,2016-1-1,14.356666666666667,13007,1.94
SEIC Equity,2016-1-1,49.62,1375,1.17
SEM Equity,2016-1-1,12.8,387,2.0
SFLY Equity,2016-1-1,45.28,7211,1.29
SFM Equity,2016-1-1,20.819999999999997,918,1.53
SHLM Equity,2016-1-1,34.38333333333333,70335,0.9
SHOO Equity,2016-1-1,37.60666666666666,99120,1.69
SHPG Equity,2016-1-1,171.63,3243,1.7
SIGI Equity,2016-1-1,43.25,2886,1.87
SKX Equity,2016-1-1,27.78,26500,1.35
SKYW Equity,2016-01-1,38.43,2419,0.5
SLGN Equity,2016-1-1,60.4,2580,0.99
SMG Equity,2016-1-1,92.49,1031,1.39
SMP Equity,2016-1-1,49.77,2080,1.79
SNI Equity,2016-1-1,78.86666666666666,7447,1.24
SNX Equity,2016-1-1,118.25,7818,0.7
SO Equity,2016-1-1,49.05,9761,0.99
SODA Equity,2016-01-01,-1.0,0,-1.0
SOHU Equity,2016-1-1,42.57,4237,1.01
SON Equity,2016-1-1,52.7,773,1.31
SONC Equity,2016-1-1,27.113333333333333,131036,1.59
SPLS Equity,2016-1-1,9.273333333333333,14046,1.91
SPR Equity,2016-1-1,59.49333333333334,12240,1.91
SPTN Equity,2016-1-1,41.00666666666667,23540,1.54
SPXC Equity,2016-01-01,-1.0,0,-1.0
SR Equity,2016-1-1,63.7,10578,0.87
SRG Equity,2016-1-1,44.49,429,0.71
SSB Equity,2016-1-1,87.2,10426,1.93
SSD Equity,2016-1-1,43.9,29138,1.98
STC Equity,2016-01-1,48.37,300,1.19
STRA Equity,2016-1-1,90.85,2500,1.45
STX Equity,2016-1-1,46.46,1093,1.16
SVU Equity,2016-1-1,4.170000000000001,11045,1.38
SWFT Equity,2016-1-1,25.21666666666667,34763,1.2
SWM Equity,2016-1-1,46.78666666666667,4414,1.35
SWX Equity,2016-01-01,80.57,759,0.98
SXC Equity,2016-01-1,10.045,33706,1.21
SXI Equity,2016-01-1,103.84,15378,0.79
SYKE Equity,2016-1-1,29.97666666666667,8048,1.84
SYMC Equity,2016-1-1,29.02,35316,1.1
SYNA Equity,2016-01-01,-1.0,0,-1.0
SYNT Equity,2016-1-1,22.235,29880,1.11
SYY Equity,2016-1-1,52.62,216,1.45
T Equity,2016-01-01,41.38,997,0.84
TARO Equity,2016-1-1,113.02333333333333,47531,1.43
TBI Equity,2016-1-1,25.2,43152,1.76
TCB Equity,2016-1-1,17.38,22557,0.66
TDC Equity,2016-1-1,33.68666666666667,46910,1.29
TDS Equity,2016-01-01,-1.0,0,-1.0
TDY Equity,2016-1-1,130.66,18975,1.28
TECD Equity,2016-01-01,85.79,4550,1.17
TEN Equity,2016-1-1,67.46333333333332,14103,1.82
TER Equity,2016-01-01,-1.0,0,-1.0
TGNA Equity,2016-1-1,23.66,71427,1.18
TGT Equity,2016-1-1,67.92,44800,1.26
THG Equity,2016-01-01,89.44,4430,1.31
THO Equity,2016-01-01,109.09,14030,1.49
THRM Equity,2016-01-01,-1.0,0,-1.0
TILE Equity,2016-1-1,18.0,51224,1.37
TIME Equity,2016-1-1,19.0,37963,1.25
TIVO Equity,2016-01-01,-1.0,0,-1.0
TJX Equity,2016-1-1,77.05,3338,1.32
TKR Equity,2016-1-1,45.15,10083,1.59
TLRD Equity,2016-1-1,23.86666666666667,16495,1.52
TMK Equity,2016-1-1,74.92,172971,1.36
TMUS Equity,2016-1-1,62.39,158532,1.47
TNC Equity,2016-01-1,81.77,58700,1.61
TNK Equity,2016-1-1,2.5133333333333336,71068,0.9
TOWR Equity,2016-1-1,27.46666666666667,59879,1.44
TPC Equity,2016-1-1,30.1,3695,1.8
TRMK Equity,2016-1-1,33.53,2247,1.05
TROW Equity,2016-1-1,69.4,1691,1.35
TRTN Equity,2016-01-1,27.6,74857,1.02
TRV Equity,2016-01-01,119.73,233,0.76
TSE Equity,2016-1-1,73.44666666666666,3527,1.26
TSN Equity,2016-1-1,65.06,10540,1.98
TSRA Equity,2016-1-1,44.14333333333334,3405,1.71
TTC Equity,2016-1-1,59.75,951,1.74
TTEK Equity,2016-01-1,41.45,234916,0.82
TTMI Equity,2016-1-1,17.7,8200,1.88
TUP Equity,2016-1-1,61.41,78843,1.81
TVPT Equity,2016-1-1,14.1,74019,1.79
TXN Equity,2016-1-1,75.16,1305,1.93
TXRH Equity,2016-1-1,48.08,64904,1.24
UFPI Equity,2016-01-01,105.85,680,0.61
UFS Equity,2016-01-1,41.14,2600,1.51
UGI Equity,2016-1-1,49.93333333333334,8976,1.49
UHAL Equity,2016-1-1,373.69,1900,1.92
UIS Equity,2016-1-1,14.433333333333332,42274,1.78
UNF Equity,2016-1-1,130.59333333333333,7325,1.39
UNFI Equity,2016-1-1,47.02,9225,1.24
URBN Equity,2016-1-1,27.623333333333335,107673,1.48
USM Equity,2016-1-1,43.41,120063,1.94
USNA Equity,2016-1-1,58.10333333333333,67854,1.64
UTHR Equity,2016-1-1,171.19000000000003,15036,1.31
UVE Equity,2016-1-1,26.576666666666664,10415,1.93
UVV Equity,2016-1-1,78.35333333333332,90960,1.33
VAL Equity,2016-1-1,110.49,5500,1.16
VC Equity,2016-01-01,-1.0,0,-1.0
VG Equity,2016-1-1,6.96,8813,0.97
VGR Equity,2016-01-01,-1.0,0,-1.0
VIAV Equity,2016-1-1,10.22,77181,1.81
VLO Equity,2016-1-1,67.47,63345,0.78
VMI Equity,2016-1-1,144.7,5502,1.51
VR Equity,2016-1-1,57.15,63075,0.67
VRA Equity,2016-01-1,10.81,2800,1.07
VRSN Equity,2016-1-1,83.14,318,1.89
VRTS Equity,2016-1-1,112.36333333333333,55770,1.19
VRTU Equity,2016-1-1,28.23,104696,0.88
VSH Equity,2016-1-1,16.37,13342,1.19
VSI Equity,2016-1-1,22.25,148324,1.88
VSTO Equity,2016-1-1,22.156666666666666,6184,1.64
VVC Equity,2016-1-1,55.5,15529,1.4
VZ Equity,2016-01-01,48.98,157,1.48
WABC Equity,2016-01-01,56.38,3921,1.3
WAFD Equity,2016-1-1,33.15,3618,1.4
WCC Equity,2016-1-1,71.2,4387,1.55
WD Equity,2016-01-1,39.144999999999996,14500,1.57
WDC Equity,2016-1-1,77.36,10243,1.66
WDFC Equity,2016-1-1,108.5,18874,1.98
WDR Equity,2016-1-1,18.88,6699,1.74
WERN Equity,2016-01-1,28.25,14300,1.05
WFM Equity,2016-1-1,30.94666666666667,11597,1.29
WGL Equity,2016-1-1,83.27,30074,1.46
WGO Equity,2016-01-1,33.55,800,1.31
WIN Equity,2016-1-1,7.616666666666667,11720,1.63
WIX Equity,2016-01-1,57.62,2437,1.21
WM Equity,2016-1-1,70.54,1074,1.04
WMK Equity,2016-1-1,60.73,21339,0.73
WMT Equity,2016-1-1,68.02,12084,1.3
WNC Equity,2016-1-1,22.356666666666666,8939,1.32
WNR Equity,2016-1-1,37.47,140754,1.5
WOR Equity,2016-1-1,49.12,648,0.67
WRB Equity,2016-1-1,68.28,199582,1.23
WRLD Equity,2016-1-1,50.93,28500,1.07
WSM Equity,2016-1-1,48.0,287547,1.24
WSTC Equity,2016-1-1,26.25,16521,1.49
WU Equity,2016-1-1,19.74,4383,1.18
WWW Equity,2016-1-1,23.8,7110,1.83
XOM Equity,2016-1-1,82.52,996,1.5
XRX Equity,2016-1-1,7.3,8419,1.05
Y Equity,2016-1-1,619.12,189,1.31
ZUMZ Equity,2016-1-1,21.85666666666667,59616,1.32
